app_package,queried_package
in.swiggy.deliveryapp,com.microsoft.rdc.androidx
in.swiggy.deliveryapp,de.robv.android.xposed.installer
in.swiggy.deliveryapp,com.saurik.substrate
in.swiggy.deliveryapp,de.robv.android.xposed
in.swiggy.deliveryapp,com.whatsapp
in.swiggy.deliveryapp,com.android.vending
in.swiggy.deliveryapp,com.facebook.katana
in.swiggy.deliveryapp,com.google.android.gm
in.swiggy.deliveryapp,com.google.android.youtube
in.swiggy.deliveryapp,com.google.android.apps.maps
in.swiggy.deliveryapp,com.instagram.android
in.swiggy.deliveryapp,com.twitter.android
in.swiggy.deliveryapp,com.jio.myjio
in.swiggy.deliveryapp,com.myairtelapp
in.swiggy.deliveryapp,com.phonepe.app
in.swiggy.deliveryapp,com.google.android.apps.nbu.paisa.user
in.swiggy.deliveryapp,net.one97.paytm
in.swiggy.deliveryapp,in.amazon.mShop.android.shopping
in.swiggy.deliveryapp,com.flipkart.android
in.swiggy.deliveryapp,com.sbi.lotusintouch
in.swiggy.deliveryapp,com.olacabs.customer
in.swiggy.deliveryapp,com.ubercab
in.swiggy.deliveryapp,virtual.camera.app
in.swiggy.deliveryapp,multispace.multiapp.clone.app.pro
in.swiggy.deliveryapp,multispace.multiapp.clone.app
in.swiggy.deliveryapp,com.clone.android.dual.space
in.swiggy.deliveryapp,com.box.app.virtual
in.swiggy.deliveryapp,id.bureau.sdkdemo.debug
in.swiggy.deliveryapp,id.bureau.sdkdemo
in.swiggy.deliveryapp,id.bureau.deviceintelligence
in.swiggy.deliveryapp,in.shadowfax.gandalf
in.swiggy.deliveryapp,com.rapido.rider
in.swiggy.deliveryapp,runner.dunzo.com.dunzo_runner
in.swiggy.deliveryapp,com.ZeptoPartner.apps
in.swiggy.deliveryapp,com.zomato.delivery
in.swiggy.deliveryapp,com.olacabs.oladriver
in.swiggy.deliveryapp,com.ubercab.driver
in.swiggy.deliveryapp,app.blinkit.onboarding
in.swiggy.deliveryapp,com.amazon.flex.rabbit
in.swiggy.deliveryapp,com.ekartkiranaonboarding
in.swiggy.deliveryapp,com.theporter.android.driverapp
in.swiggy.deliveryapp,com.zepto.rider
in.swiggy.deliveryapp,com.application.zomato
in.swiggy.deliveryapp,com.rapido.passenger
in.swiggy.deliveryapp,com.olacabs.customer
in.swiggy.deliveryapp,in.amazon.mShop.android.shopping
in.swiggy.deliveryapp,com.flipkart.android
in.swiggy.deliveryapp,com.grofers.customerapp
in.swiggy.deliveryapp,com.zeptoconsumerapp
in.swiggy.deliveryapp,com.google.android.apps.nbu.paisa.user
in.swiggy.deliveryapp,com.phonepe.app
in.swiggy.deliveryapp,net.one97.paytm
in.swiggy.deliveryapp,in.org.npci.upiapp
in.swiggy.deliveryapp,com.dreamplug.androidapp
in.swiggy.deliveryapp,com.facebook.katana
in.swiggy.deliveryapp,com.instagram.android
in.swiggy.deliveryapp,com.twitter.android
in.swiggy.deliveryapp,com.snapchat.android
in.swiggy.deliveryapp,com.linkedin.android
in.swiggy.deliveryapp,org.telegram.messenger
in.swiggy.deliveryapp,com.whatsapp
in.swiggy.deliveryapp,com.netflix.mediaclient
in.swiggy.deliveryapp,com.amazon.avod.thirdpartyclient
in.swiggy.deliveryapp,in.startv.hotstar
in.swiggy.deliveryapp,com.ludo.king
in.swiggy.deliveryapp,com.pubg.imobile
in.swiggy.deliveryapp,com.miniclip.eightballpool
in.swiggy.deliveryapp,com.miniclip.carrom
in.swiggy.deliveryapp,com.dream11.fantasy.cricket.football.kabaddi
in.swiggy.deliveryapp,com.mpl.androidapp.cash
in.swiggy.deliveryapp,com.zerodha.kite
in.swiggy.deliveryapp,in.upstox.app
